frame,timestamp,fps,num_tracks,track_ids
1,14:19:57,27.46,0,
2,14:19:58,0.32,0,
3,14:19:58,5.14,13,1;2;3;4;5;6;7;8;9;10;11;12;13
4,14:19:58,7.68,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14
5,14:19:58,6.86,13,1;2;3;4;5;6;7;8;9;10;11;12;13
6,14:19:58,8.61,13,1;2;3;4;5;6;7;8;9;10;11;12;13
7,14:19:58,8.88,14,1;2;3;4;5;6;7;8;9;10;11;12;13;15
8,14:19:58,7.69,13,1;2;3;4;5;6;7;8;9;10;11;12;13
9,14:19:59,4.84,13,1;2;3;4;5;6;7;8;9;10;11;12;13
10,14:19:59,8.34,13,1;2;3;4;5;6;7;8;9;10;11;12;13
11,14:19:59,8.45,12,1;2;3;4;5;6;7;8;9;10;11;13
12,14:19:59,7.19,12,1;2;3;4;5;6;7;8;9;10;11;13
13,14:19:59,9.16,12,1;2;3;4;5;6;7;8;9;10;11;13
14,14:19:59,7.57,13,1;2;3;4;5;6;7;8;9;10;11;12;13
15,14:19:59,6.31,13,1;2;3;4;5;6;7;8;9;10;11;12;13
16,14:20:00,7.29,13,1;2;3;4;5;6;7;8;9;10;11;12;13
17,14:20:00,9.01,13,1;2;3;4;5;6;7;8;9;10;11;12;13
18,14:20:00,7.86,13,1;2;3;4;5;6;7;8;9;10;11;12;13
19,14:20:00,6.82,13,1;2;3;4;5;6;7;8;9;10;11;12;13
20,14:20:00,7.99,13,1;2;3;4;5;6;7;8;9;10;11;12;13
21,14:20:00,7.27,13,1;2;3;4;5;6;7;8;9;10;11;12;13
22,14:20:00,8.69,13,1;2;3;4;5;6;7;8;9;10;11;12;13
23,14:20:00,8.60,13,1;2;3;4;5;6;7;8;9;10;11;12;13
24,14:20:01,7.84,13,1;2;3;4;5;6;7;8;9;10;11;12;13
25,14:20:01,6.36,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14
26,14:20:01,8.20,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14
27,14:20:01,7.76,13,1;2;3;4;5;6;7;8;9;10;11;12;13
28,14:20:01,8.02,13,1;2;3;4;5;6;7;8;9;10;11;12;13
