frame,timestamp,inst_fps,avg_fps,num_tracks,track_ids
1,16:08:56,62.50,62.50,0,
2,16:08:56,2.44,4.69,0,
3,16:08:56,99.94,6.88,7,1;2;3;4;5;6;7
4,16:08:56,83.33,8.93,7,1;2;3;4;5;6;7
5,16:08:56,15.92,9.79,7,1;2;3;4;5;6;7
6,16:08:56,61.96,11.39,7,1;2;3;4;5;6;7
7,16:08:56,71.43,12.94,7,1;2;3;4;5;6;7
8,16:08:56,16.67,13.31,7,1;2;3;4;5;6;7
9,16:08:56,69.37,14.63,8,1;2;3;4;5;6;7;8
10,16:08:57,57.17,15.80,8,1;2;3;4;5;6;7;8
11,16:08:57,12.79,15.47,8,1;2;3;4;5;6;7;8
12,16:08:57,62.53,16.51,8,1;2;3;4;5;6;7;8
13,16:08:57,64.22,17.51,8,1;2;3;4;5;6;7;8
14,16:08:57,15.98,17.39,8,1;2;3;4;5;6;7;8
15,16:08:57,61.66,18.26,8,1;2;3;4;5;6;7;8
16,16:08:57,66.63,19.13,8,1;2;3;4;5;6;7;8
17,16:08:57,13.02,18.62,8,1;2;3;4;5;6;7;8
18,16:08:57,66.18,19.39,8,1;2;3;4;5;6;7;8
19,16:08:57,62.45,20.12,8,1;2;3;4;5;6;7;8
20,16:08:57,12.72,19.55,8,1;2;3;4;5;6;7;8
21,16:08:57,62.50,20.21,8,1;2;3;4;5;6;7;8
22,16:08:57,66.67,20.87,8,1;2;3;4;5;6;7;8
23,16:08:57,12.79,20.32,8,1;2;3;4;5;6;7;8
24,16:08:57,66.64,20.92,9,1;2;3;4;5;6;7;8;9
25,16:08:57,67.30,21.52,8,1;2;3;4;5;6;7;8
26,16:08:57,16.67,21.28,8,1;2;3;4;5;6;7;8
27,16:08:57,50.83,21.75,8,1;2;3;4;5;6;7;8
28,16:08:57,65.84,22.28,7,1;2;3;4;5;6;7
29,16:08:57,15.62,21.96,7,1;2;3;4;5;6;7
30,16:08:57,65.22,22.45,7,1;2;3;4;5;6;7
31,16:08:57,124.88,23.06,7,1;2;3;4;5;6;7
32,16:08:57,17.83,22.85,7,1;2;3;4;5;6;7
33,16:08:57,65.49,23.31,7,1;2;3;4;5;6;7
34,16:08:57,62.53,23.75,7,1;2;3;4;5;6;7
35,16:08:57,15.90,23.42,7,1;2;3;4;5;6;7
36,16:08:57,64.84,23.84,7,1;2;3;4;5;6;7
37,16:08:57,62.08,24.25,7,1;2;3;4;5;6;7
38,16:08:57,15.79,23.91,7,1;2;3;4;5;6;7
39,16:08:57,66.70,24.31,7,1;2;3;4;5;6;7
40,16:08:58,65.65,24.70,7,1;2;3;4;5;6;7
41,16:08:58,15.89,24.37,7,1;2;3;4;5;6;7
42,16:08:58,62.26,24.73,7,1;2;3;4;5;6;7
43,16:08:58,65.85,25.09,7,1;2;3;4;5;6;7
44,16:08:58,15.97,24.77,7,1;2;3;4;5;6;7
45,16:08:58,65.27,25.12,7,1;2;3;4;5;6;7
46,16:08:58,66.67,25.46,7,1;2;3;4;5;6;7
47,16:08:58,15.74,25.13,7,1;2;3;4;5;6;7
48,16:08:58,64.50,25.46,7,1;2;3;4;5;6;7
49,16:08:58,111.10,25.86,7,1;2;3;4;5;6;7
50,16:08:58,15.04,25.50,7,1;2;3;4;5;6;7
51,16:08:58,58.80,25.78,7,1;2;3;4;5;6;7
52,16:08:58,66.34,26.09,7,1;2;3;4;5;6;7
53,16:08:58,15.94,25.78,7,1;2;3;4;5;6;7
54,16:08:58,64.38,26.07,7,1;2;3;4;5;6;7
55,16:08:58,62.98,26.35,7,1;2;3;4;5;6;7
56,16:08:58,12.95,25.87,7,1;2;3;4;5;6;7
57,16:08:58,64.00,26.15,7,1;2;3;4;5;6;7
58,16:08:58,63.97,26.41,7,1;2;3;4;5;6;7
59,16:08:58,12.52,25.93,7,1;2;3;4;5;6;7
60,16:08:58,66.02,26.19,7,1;2;3;4;5;6;7
61,16:08:58,67.60,26.46,7,1;2;3;4;5;6;7
62,16:08:58,12.63,26.00,7,1;2;3;4;5;6;7
63,16:08:58,63.53,26.24,7,1;2;3;4;5;6;7
64,16:08:58,66.70,26.50,7,1;2;3;4;5;6;7
65,16:08:58,16.26,26.24,7,1;2;3;4;5;6;7
66,16:08:58,64.62,26.48,7,1;2;3;4;5;6;7
67,16:08:58,63.61,26.71,7,1;2;3;4;5;6;7
68,16:08:58,12.61,26.28,7,1;2;3;4;5;6;7
69,16:08:58,66.59,26.51,7,1;2;3;4;5;6;7
70,16:08:59,99.92,26.79,7,1;2;3;4;5;6;7
71,16:08:59,14.84,26.49,7,1;2;3;4;5;6;7
72,16:08:59,62.50,26.71,7,1;2;3;4;5;6;7
73,16:08:59,62.34,26.92,7,1;2;3;4;5;6;7
