frame,timestamp,inst_fps,avg_fps,num_tracks,track_ids
1,16:10:38,76.91,76.91,0,
2,16:10:38,5.85,10.88,0,
3,16:10:38,50.00,14.71,7,1;2;3;4;5;6;7
4,16:10:38,64.01,18.22,7,1;2;3;4;5;6;7
5,16:10:38,15.74,17.67,7,1;2;3;4;5;6;7
6,16:10:38,62.58,20.07,7,1;2;3;4;5;6;7
7,16:10:38,62.42,22.22,7,1;2;3;4;5;6;7
8,16:10:38,15.95,21.18,7,1;2;3;4;5;6;7
9,16:10:38,66.59,22.92,8,1;2;3;4;5;6;7;8
10,16:10:38,66.67,24.52,8,1;2;3;4;5;6;7;8
11,16:10:38,15.76,23.35,8,1;2;3;4;5;6;7;8
12,16:10:38,64.30,24.65,8,1;2;3;4;5;6;7;8
13,16:10:38,62.48,25.86,8,1;2;3;4;5;6;7;8
14,16:10:38,15.80,24.73,8,1;2;3;4;5;6;7;8
15,16:10:38,62.39,25.77,8,1;2;3;4;5;6;7;8
16,16:10:39,65.87,26.79,8,1;2;3;4;5;6;7;8
17,16:10:39,16.01,25.77,8,1;2;3;4;5;6;7;8
18,16:10:39,70.10,26.71,8,1;2;3;4;5;6;7;8
19,16:10:39,66.67,27.58,8,1;2;3;4;5;6;7;8
20,16:10:39,21.63,27.20,8,1;2;3;4;5;6;7;8
21,16:10:39,64.04,27.97,8,1;2;3;4;5;6;7;8
22,16:10:39,65.85,28.72,8,1;2;3;4;5;6;7;8
23,16:10:39,21.65,28.32,8,1;2;3;4;5;6;7;8
24,16:10:39,64.24,28.99,9,1;2;3;4;5;6;7;8;9
25,16:10:39,64.41,29.65,8,1;2;3;4;5;6;7;8
26,16:10:39,15.63,28.66,8,1;2;3;4;5;6;7;8
27,16:10:39,62.39,29.24,8,1;2;3;4;5;6;7;8
28,16:10:39,114.67,30.04,7,1;2;3;4;5;6;7
29,16:10:39,18.43,29.40,7,1;2;3;4;5;6;7
30,16:10:39,66.67,29.96,7,1;2;3;4;5;6;7
31,16:10:39,65.94,30.50,7,1;2;3;4;5;6;7
32,16:10:39,16.02,29.66,7,1;2;3;4;5;6;7
33,16:10:39,58.93,30.11,7,1;2;3;4;5;6;7
34,16:10:39,67.68,30.61,7,1;2;3;4;5;6;7
35,16:10:39,15.94,29.83,7,1;2;3;4;5;6;7
36,16:10:39,62.95,30.27,7,1;2;3;4;5;6;7
37,16:10:39,110.99,30.88,7,1;2;3;4;5;6;7
38,16:10:39,19.18,30.39,7,1;2;3;4;5;6;7
39,16:10:39,65.69,30.82,7,1;2;3;4;5;6;7
40,16:10:39,63.63,31.22,7,1;2;3;4;5;6;7
41,16:10:39,15.82,30.49,7,1;2;3;4;5;6;7
42,16:10:39,65.28,30.89,7,1;2;3;4;5;6;7
43,16:10:39,62.41,31.25,7,1;2;3;4;5;6;7
44,16:10:39,15.62,30.56,7,1;2;3;4;5;6;7
45,16:10:39,64.24,30.92,7,1;2;3;4;5;6;7
46,16:10:39,111.11,31.41,7,1;2;3;4;5;6;7
47,16:10:39,18.91,30.98,7,1;2;3;4;5;6;7
48,16:10:39,63.66,31.31,7,1;2;3;4;5;6;7
