frame,timestamp,fps,num_tracks,track_ids
1,16:21:10,45.44,7,7;6;5;4;3;2;1
2,16:21:10,5.22,7,7;6;5;4;3;2;1
3,16:21:10,46.29,7,7;6;5;4;3;2;1
4,16:21:10,66.67,7,7;6;5;4;3;2;1
5,16:21:10,21.74,7,7;6;5;4;3;2;1
6,16:21:10,66.32,7,7;6;5;4;3;2;1
7,16:21:10,62.48,7,7;6;5;4;3;2;1
8,16:21:10,16.49,7,7;6;5;4;3;2;1
9,16:21:10,62.45,7,7;6;5;4;3;2;1
10,16:21:11,111.11,8,8;7;6;5;4;3;2;1
11,16:21:11,18.18,8,8;7;6;5;4;3;2;1
12,16:21:11,62.47,8,8;7;6;5;4;3;2;1
13,16:21:11,110.52,8,8;7;6;5;4;3;2;1
14,16:21:11,18.27,8,8;7;6;5;4;3;2;1
15,16:21:11,62.47,8,8;7;6;5;4;3;2;1
16,16:21:11,65.72,8,8;7;6;5;4;3;2;1
17,16:21:11,17.02,8,8;7;6;5;4;3;2;1
18,16:21:11,65.22,8,8;7;6;5;4;3;2;1
19,16:21:11,66.66,8,8;7;6;5;4;3;2;1
20,16:21:11,15.77,8,8;7;6;5;4;3;2;1
21,16:21:11,60.61,8,8;7;6;5;4;3;2;1
22,16:21:11,71.47,8,8;7;6;5;4;3;2;1
23,16:21:11,16.38,8,8;7;6;5;4;3;2;1
24,16:21:11,66.56,8,8;7;6;5;4;3;2;1
25,16:21:11,67.06,8,9;7;6;5;4;3;2;1
26,16:21:11,15.73,8,9;7;6;5;4;3;2;1
27,16:21:11,59.22,8,9;7;6;5;4;3;2;1
28,16:21:11,124.96,7,7;6;5;4;3;2;1
29,16:21:11,17.99,7,7;6;5;4;3;2;1
30,16:21:11,63.68,7,7;6;5;4;3;2;1
31,16:21:11,62.47,7,7;6;5;4;3;2;1
32,16:21:11,15.79,7,7;6;5;4;3;2;1
33,16:21:11,62.47,7,7;6;5;4;3;2;1
34,16:21:11,64.05,7,7;6;5;4;3;2;1
35,16:21:11,20.79,7,7;6;5;4;3;2;1
36,16:21:11,66.66,7,7;6;5;4;3;2;1
37,16:21:11,62.73,7,7;6;5;4;3;2;1
38,16:21:11,16.19,7,7;6;5;4;3;2;1
39,16:21:11,62.53,7,7;6;5;4;3;2;1
40,16:21:11,66.66,7,7;6;5;4;3;2;1
41,16:21:11,15.70,7,7;6;5;4;3;2;1
42,16:21:11,66.67,7,7;6;5;4;3;2;1
43,16:21:12,69.43,7,7;6;5;4;3;2;1
44,16:21:12,21.08,7,7;6;5;4;3;2;1
45,16:21:12,70.75,7,7;6;5;4;3;2;1
46,16:21:12,58.83,7,7;6;5;4;3;2;1
47,16:21:12,21.25,7,7;6;5;4;3;2;1
48,16:21:12,60.54,7,7;6;5;4;3;2;1
49,16:21:12,71.43,7,7;6;5;4;3;2;1
50,16:21:12,21.11,7,7;6;5;4;3;2;1
51,16:21:12,62.64,7,7;6;5;4;3;2;1
52,16:21:12,66.65,7,7;6;5;4;3;2;1
53,16:21:12,22.71,7,7;6;5;4;3;2;1
54,16:21:12,111.11,7,7;6;5;4;3;2;1
55,16:21:12,42.27,7,7;6;5;4;3;2;1
