epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.1016,1.39748,0.67568,0.97816,0.88481,0.000302211,0.000302211,0.000302211
2,81.245,0.96564,0.70958,0.98403,0.83924,0.000593228,0.000593228,0.000593228
3,100.763,0.88407,0.72784,0.9899,0.75303,0.000872246,0.000872246,0.000872246
4,121.597,0.83249,0.74055,0.9899,0.73401,0.000855005,0.000855005,0.000855005
5,139.749,0.75439,0.77836,0.99283,0.61634,0.000837007,0.000837007,0.000837007
6,157.939,0.70969,0.78553,0.99316,0.60274,0.000819009,0.000819009,0.000819009
7,176.726,0.68624,0.78651,0.99218,0.59739,0.000801011,0.000801011,0.000801011
8,195.603,0.65788,0.80769,0.9925,0.5503,0.000783013,0.000783013,0.000783013
9,214.119,0.63539,0.82106,0.99185,0.51095,0.000765014,0.000765014,0.000765014
10,232.959,0.60886,0.82399,0.9925,0.50822,0.000747016,0.000747016,0.000747016
11,251.406,0.60287,0.81519,0.99446,0.54252,0.000729018,0.000729018,0.000729018
12,270.152,0.56853,0.82138,0.99316,0.50764,0.00071102,0.00071102,0.00071102
13,288.692,0.56182,0.82529,0.99381,0.49436,0.000693022,0.000693022,0.000693022
14,307.486,0.54206,0.84257,0.99511,0.4596,0.000675023,0.000675023,0.000675023
15,326.077,0.52364,0.82627,0.99348,0.52305,0.000657025,0.000657025,0.000657025
16,344.638,0.51434,0.83866,0.99413,0.46335,0.000639027,0.000639027,0.000639027
17,363.224,0.5001,0.84485,0.99381,0.45198,0.000621029,0.000621029,0.000621029
18,382.214,0.49209,0.83312,0.99413,0.47591,0.000603031,0.000603031,0.000603031
19,400.782,0.46342,0.84126,0.99576,0.46128,0.000585032,0.000585032,0.000585032
20,419.501,0.45812,0.82953,0.99544,0.47119,0.000567034,0.000567034,0.000567034
21,438.242,0.44407,0.83801,0.99544,0.45211,0.000549036,0.000549036,0.000549036
22,456.973,0.43912,0.84876,0.99511,0.43758,0.000531038,0.000531038,0.000531038
23,476.359,0.41627,0.84909,0.99544,0.44197,0.00051304,0.00051304,0.00051304
24,1022.75,0.41088,0.84681,0.99478,0.42847,0.000495041,0.000495041,0.000495041
25,1043.55,0.38637,0.84355,0.99609,0.44359,0.000477043,0.000477043,0.000477043
26,1062.74,0.39842,0.85495,0.99511,0.42247,0.000459045,0.000459045,0.000459045
27,1081.48,0.37446,0.85495,0.99609,0.43059,0.000441047,0.000441047,0.000441047
28,1100.24,0.35534,0.85756,0.99707,0.42207,0.000423049,0.000423049,0.000423049
29,1119.46,0.35207,0.85658,0.99772,0.43099,0.00040505,0.00040505,0.00040505
30,1138.65,0.33687,0.85169,0.99544,0.43097,0.000387052,0.000387052,0.000387052
31,1157.67,0.32381,0.85561,0.99609,0.43817,0.000369054,0.000369054,0.000369054
32,1176.27,0.30774,0.86017,0.99576,0.44153,0.000351056,0.000351056,0.000351056
33,1194.87,0.29749,0.85528,0.99446,0.43566,0.000333058,0.000333058,0.000333058
34,1213.5,0.29582,0.85821,0.99674,0.42738,0.000315059,0.000315059,0.000315059
35,1232.05,0.28847,0.85658,0.99674,0.43608,0.000297061,0.000297061,0.000297061
36,1250.72,0.26785,0.85984,0.99609,0.42528,0.000279063,0.000279063,0.000279063
37,1269.3,0.26139,0.86115,0.99609,0.44231,0.000261065,0.000261065,0.000261065
38,1287.84,0.2618,0.85528,0.99804,0.44273,0.000243067,0.000243067,0.000243067
39,1306.28,0.23617,0.86082,0.99707,0.4449,0.000225068,0.000225068,0.000225068
40,1324.76,0.23923,0.85332,0.99609,0.44755,0.00020707,0.00020707,0.00020707
41,1378.9,0.2217,0.85495,0.99707,0.45518,0.000189072,0.000189072,0.000189072
42,1397.49,0.21856,0.86017,0.99674,0.44334,0.000171074,0.000171074,0.000171074
43,1416.01,0.20468,0.85821,0.99641,0.45514,0.000153076,0.000153076,0.000153076
44,1434.47,0.20069,0.86213,0.99674,0.45746,0.000135077,0.000135077,0.000135077
45,1453.49,0.19423,0.8618,0.99674,0.46356,0.000117079,0.000117079,0.000117079
46,1472.69,0.18927,0.85789,0.99609,0.46707,9.9081e-05,9.9081e-05,9.9081e-05
47,3395.9,0.18371,0.85854,0.99674,0.46471,8.10828e-05,8.10828e-05,8.10828e-05
48,3421.37,0.17668,0.85984,0.99674,0.46601,6.30846e-05,6.30846e-05,6.30846e-05
49,3440.4,0.1744,0.8605,0.99641,0.4655,4.50864e-05,4.50864e-05,4.50864e-05
50,3461.29,0.16773,0.85919,0.99609,0.46551,2.70882e-05,2.70882e-05,2.70882e-05
