epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.6287,0.68596,0.84237,1,0.41509,0.000474443,0.000474443,0.000474443
2,31.3595,0.47046,0.85843,1,0.36653,0.000931951,0.000931951,0.000931951
3,43.7001,0.42477,0.876,1,0.33326,0.0013706,0.0013706,0.0013706
4,56.3479,0.38919,0.88052,1,0.32593,0.00134412,0.00134412,0.00134412
5,68.7085,0.35166,0.90964,1,0.23777,0.00131582,0.00131582,0.00131582
6,85.8408,0.33072,0.92871,1,0.20785,0.00128753,0.00128753,0.00128753
7,107.737,0.29922,0.91767,1,0.22238,0.00125923,0.00125923,0.00125923
8,125.977,0.3043,0.9001,1,0.24841,0.00123094,0.00123094,0.00123094
9,148.275,0.28096,0.92219,1,0.20205,0.00120265,0.00120265,0.00120265
10,161.398,0.25982,0.91717,1,0.21695,0.00117435,0.00117435,0.00117435
11,173.982,0.24745,0.86647,1,0.3405,0.00114606,0.00114606,0.00114606
12,195.951,0.25684,0.93072,1,0.17813,0.00111776,0.00111776,0.00111776
13,218.534,0.24119,0.92922,1,0.19753,0.00108947,0.00108947,0.00108947
14,241.056,0.22417,0.91918,1,0.21648,0.00106118,0.00106118,0.00106118
15,255.804,0.2212,0.91817,1,0.21113,0.00103288,0.00103288,0.00103288
16,268.29,0.21724,0.90813,1,0.25747,0.00100459,0.00100459,0.00100459
17,281.17,0.20843,0.93173,1,0.18012,0.000976293,0.000976293,0.000976293
18,294.178,0.19819,0.92169,1,0.20367,0.000947999,0.000947999,0.000947999
19,314.346,0.1959,0.93524,1,0.17585,0.000919704,0.000919704,0.000919704
20,334.391,0.18977,0.93122,1,0.19281,0.00089141,0.00089141,0.00089141
21,349.284,0.19105,0.94127,1,0.15221,0.000863116,0.000863116,0.000863116
22,371.483,0.17829,0.93574,1,0.16831,0.000834822,0.000834822,0.000834822
23,393.844,0.17265,0.94327,1,0.14899,0.000806528,0.000806528,0.000806528
24,416.312,0.16508,0.94729,1,0.15516,0.000778233,0.000778233,0.000778233
25,438.423,0.16571,0.93825,1,0.18279,0.000749939,0.000749939,0.000749939
26,458.959,0.16775,0.94378,1,0.15067,0.000721645,0.000721645,0.000721645
27,478.899,0.16586,0.94378,1,0.14769,0.000693351,0.000693351,0.000693351
28,495.095,0.14885,0.94127,1,0.15878,0.000665057,0.000665057,0.000665057
29,507.859,0.15319,0.94177,1,0.15307,0.000636762,0.000636762,0.000636762
30,520.328,0.13568,0.94679,1,0.15143,0.000608468,0.000608468,0.000608468
31,532.625,0.12948,0.94428,1,0.17753,0.000580174,0.000580174,0.000580174
32,545.253,0.13298,0.94428,1,0.14996,0.00055188,0.00055188,0.00055188
33,557.727,0.12796,0.94679,1,0.13728,0.000523586,0.000523586,0.000523586
34,570.295,0.13118,0.95331,1,0.13304,0.000495291,0.000495291,0.000495291
35,582.892,0.11888,0.94076,1,0.14531,0.000466997,0.000466997,0.000466997
36,595.329,0.12485,0.95532,1,0.13528,0.000438703,0.000438703,0.000438703
37,610.612,0.11837,0.9503,1,0.14679,0.000410409,0.000410409,0.000410409
38,632.904,0.11616,0.94679,1,0.14028,0.000382115,0.000382115,0.000382115
39,655.335,0.09709,0.95181,1,0.16129,0.00035382,0.00035382,0.00035382
40,677.481,0.09473,0.9488,1,0.16002,0.000325526,0.000325526,0.000325526
41,738.474,0.09419,0.95582,1,0.14812,0.000297232,0.000297232,0.000297232
42,757.639,0.09086,0.95181,1,0.13036,0.000268938,0.000268938,0.000268938
43,778.054,0.09048,0.95482,1,0.14208,0.000240644,0.000240644,0.000240644
44,790.884,0.08002,0.95231,1,0.13925,0.000212349,0.000212349,0.000212349
45,804.299,0.0847,0.94779,1,0.14922,0.000184055,0.000184055,0.000184055
46,816.869,0.08574,0.95231,1,0.13732,0.000155761,0.000155761,0.000155761
47,829.391,0.07751,0.95382,1,0.14335,0.000127467,0.000127467,0.000127467
48,842.043,0.06813,0.95432,1,0.13529,9.91726e-05,9.91726e-05,9.91726e-05
49,858.04,0.07129,0.95582,1,0.13901,7.08784e-05,7.08784e-05,7.08784e-05
50,880.283,0.0667,0.95432,1,0.137,4.25842e-05,4.25842e-05,4.25842e-05
