epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.6995,1.88265,1.44754,1.10413,0.81369,0.6768,0.7611,0.33583,1.83112,1.1834,1.03749,0.000662474,0.000662474,0.000662474
2,77.5324,1.74384,0.95195,1.04945,0.8207,0.72539,0.78924,0.35597,1.76887,0.90229,1.02914,0.00130282,0.00130282,0.00130282
3,113.798,1.71229,0.89776,1.05165,0.80569,0.73322,0.7724,0.3418,1.80925,0.87288,1.04187,0.00191677,0.00191677,0.00191677
4,149.928,1.70324,0.85841,1.04406,0.85206,0.7877,0.8436,0.37534,1.69782,0.82692,1.01303,0.0018812,0.0018812,0.0018812
5,185.992,1.67709,0.83292,1.03302,0.84454,0.80448,0.8544,0.40645,1.69157,0.78429,1.00989,0.0018416,0.0018416,0.0018416
6,221.787,1.65141,0.80257,1.02924,0.85435,0.80407,0.86094,0.41073,1.67996,0.77639,1.00672,0.001802,0.001802,0.001802
7,256.969,1.65968,0.80185,1.02949,0.86515,0.7969,0.86196,0.40136,1.68749,0.7737,1.00813,0.0017624,0.0017624,0.0017624
8,291.427,1.6372,0.77293,1.01856,0.86341,0.81098,0.85875,0.40282,1.67188,0.7937,1.00877,0.0017228,0.0017228,0.0017228
9,325.552,1.64984,0.77926,1.02914,0.85813,0.81806,0.86882,0.42261,1.64638,0.78659,1.00369,0.0016832,0.0016832,0.0016832
10,359.62,1.61324,0.76057,1.02246,0.8772,0.82838,0.88363,0.4166,1.6433,0.7412,0.99961,0.0016436,0.0016436,0.0016436
11,393.886,1.61741,0.75028,1.01768,0.87155,0.83111,0.87802,0.42754,1.6559,0.72654,1.00252,0.001604,0.001604,0.001604
12,430.486,1.61469,0.75237,1.01948,0.88502,0.8405,0.88902,0.42803,1.63574,0.72211,1.00032,0.0015644,0.0015644,0.0015644
13,467.733,1.62057,0.7488,1.01988,0.88096,0.82203,0.87918,0.42838,1.63978,0.72359,0.99466,0.0015248,0.0015248,0.0015248
14,505.366,1.59534,0.73216,1.01295,0.88464,0.84667,0.89119,0.43632,1.61784,0.70864,0.99404,0.0014852,0.0014852,0.0014852
15,542.977,1.58453,0.72247,1.01159,0.88438,0.84758,0.89648,0.4412,1.61722,0.71041,0.99089,0.0014456,0.0014456,0.0014456
16,580.43,1.58692,0.72231,1.01564,0.88099,0.84995,0.89634,0.43664,1.60706,0.71033,0.99406,0.001406,0.001406,0.001406
17,618.034,1.57588,0.71011,1.01005,0.88475,0.84795,0.88989,0.4418,1.63083,0.69648,0.99815,0.0013664,0.0013664,0.0013664
18,655.945,1.56311,0.70806,1.00482,0.88696,0.8552,0.89761,0.44807,1.60676,0.69148,0.99079,0.0013268,0.0013268,0.0013268
19,693.947,1.57652,0.71372,1.00696,0.88217,0.85058,0.89349,0.439,1.61568,0.70263,0.99392,0.0012872,0.0012872,0.0012872
20,731.58,1.56361,0.697,0.99945,0.89276,0.85159,0.89725,0.4473,1.61583,0.6835,0.99064,0.0012476,0.0012476,0.0012476
21,768.691,1.56408,0.70117,1.00181,0.88895,0.85824,0.90076,0.44134,1.59642,0.69331,0.98634,0.001208,0.001208,0.001208
22,806.034,1.55682,0.69299,0.99944,0.89389,0.86094,0.90454,0.45407,1.59376,0.67447,0.98845,0.0011684,0.0011684,0.0011684
23,843.654,1.54266,0.69345,1.00375,0.88374,0.85874,0.89888,0.42906,1.61841,0.68979,0.99445,0.0011288,0.0011288,0.0011288
24,881.2,1.54641,0.68773,0.99831,0.89305,0.85942,0.89779,0.45246,1.60672,0.68295,0.99003,0.0010892,0.0010892,0.0010892
25,918.481,1.55321,0.68389,0.99693,0.8995,0.85717,0.90057,0.45546,1.59272,0.66902,0.98605,0.0010496,0.0010496,0.0010496
26,955.828,1.54692,0.68334,0.99669,0.8926,0.85493,0.90324,0.44668,1.60217,0.67862,0.99109,0.00101,0.00101,0.00101
27,993.316,1.53843,0.67818,0.99747,0.89237,0.86201,0.90535,0.4513,1.59874,0.6748,0.98785,0.0009704,0.0009704,0.0009704
28,1031.77,1.53286,0.67049,0.997,0.88889,0.85353,0.89833,0.44817,1.59674,0.67329,0.98552,0.0009308,0.0009308,0.0009308
29,1069.02,1.53595,0.6786,0.99323,0.89603,0.86268,0.90841,0.45534,1.60154,0.6658,0.98604,0.0008912,0.0008912,0.0008912
