epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9288,1.88882,1.47773,1.08153,0.80092,0.72671,0.79592,0.35275,1.80038,0.93608,1.02118,0.000663537,0.000663537,0.000663537
2,107.932,1.75914,0.95892,1.04775,0.82172,0.73841,0.79842,0.35007,1.77439,0.86996,1.02106,0.00131703,0.00131703,0.00131703
3,159.73,1.73858,0.89221,1.04168,0.84102,0.75985,0.82359,0.36478,1.79726,0.8533,1.04081,0.00195733,0.00195733,0.00195733
4,217.816,1.71786,0.8538,1.03948,0.86505,0.78878,0.86587,0.39557,1.71773,0.80821,1.00704,0.0019406,0.0019406,0.0019406
5,267.65,1.6742,0.80862,1.03563,0.85801,0.80744,0.87783,0.41543,1.69501,0.76852,1.00537,0.0019208,0.0019208,0.0019208
6,443.182,1.66926,0.78885,1.02742,0.86375,0.80656,0.87816,0.40992,1.71179,0.77321,1.00771,0.001901,0.001901,0.001901
7,511.209,1.66023,0.78153,1.02581,0.84632,0.80198,0.86761,0.40748,1.6926,0.80424,1.00084,0.0018812,0.0018812,0.0018812
8,575.883,1.64118,0.76938,1.02281,0.86979,0.82583,0.88858,0.42597,1.66761,0.76077,1.00159,0.0018614,0.0018614,0.0018614
9,640.678,1.64347,0.76382,1.02388,0.87539,0.82733,0.89537,0.42838,1.66696,0.73442,0.99481,0.0018416,0.0018416,0.0018416
10,703.898,1.62935,0.74837,1.01734,0.88559,0.84087,0.9033,0.43395,1.65143,0.71464,0.99296,0.0018218,0.0018218,0.0018218
11,766.512,1.61783,0.74108,1.01247,0.88197,0.83697,0.90391,0.43947,1.64104,0.73453,0.98918,0.001802,0.001802,0.001802
12,831.395,1.61896,0.7388,1.01118,0.88448,0.83408,0.89346,0.42836,1.66309,0.72086,0.99636,0.0017822,0.0017822,0.0017822
13,891.814,1.60598,0.73006,1.01451,0.88514,0.84535,0.90422,0.43887,1.65411,0.72326,0.99194,0.0017624,0.0017624,0.0017624
14,944.509,1.60821,0.72501,1.00911,0.88877,0.84346,0.90664,0.44459,1.64664,0.71525,0.99187,0.0017426,0.0017426,0.0017426
15,996.287,1.59411,0.71739,1.00899,0.8828,0.84642,0.90715,0.44034,1.63965,0.7046,0.98803,0.0017228,0.0017228,0.0017228
16,1046.89,1.59693,0.71745,1.00537,0.89497,0.85516,0.91535,0.45233,1.62248,0.7002,0.98289,0.001703,0.001703,0.001703
17,1101.21,1.59113,0.71223,1.00744,0.89468,0.85099,0.91086,0.44489,1.64461,0.69582,0.98957,0.0016832,0.0016832,0.0016832
18,1153.74,1.59538,0.70935,1.00643,0.88634,0.84578,0.89784,0.43128,1.66081,0.70778,0.9925,0.0016634,0.0016634,0.0016634
19,1210.8,1.59388,0.70867,1.00337,0.89143,0.8579,0.9178,0.44884,1.63836,0.69384,0.98778,0.0016436,0.0016436,0.0016436
20,1261.55,1.57008,0.69552,1.00508,0.89003,0.85565,0.91594,0.44771,1.64656,0.69472,0.99338,0.0016238,0.0016238,0.0016238
21,1315.08,1.58624,0.70315,1.00217,0.89533,0.86124,0.91535,0.4464,1.6222,0.68693,0.987,0.001604,0.001604,0.001604
22,1364.26,1.58205,0.69906,1.0011,0.89654,0.86095,0.92019,0.45917,1.61762,0.67863,0.98482,0.0015842,0.0015842,0.0015842
23,1413.85,1.57006,0.69553,1.00152,0.89967,0.86034,0.91569,0.45707,1.6315,0.67961,0.99077,0.0015644,0.0015644,0.0015644
24,1516.96,1.57805,0.69334,1.00085,0.89832,0.85983,0.91995,0.45716,1.61785,0.688,0.98628,0.0015446,0.0015446,0.0015446
25,1580.79,1.57735,0.68654,0.99992,0.9014,0.86266,0.9226,0.46416,1.61632,0.66779,0.98498,0.0015248,0.0015248,0.0015248
26,1645.35,1.57251,0.68683,0.99683,0.90558,0.86577,0.92322,0.46389,1.61459,0.67334,0.98444,0.001505,0.001505,0.001505
27,1709.87,1.56316,0.68383,0.99995,0.89909,0.8648,0.91917,0.45558,1.62129,0.68183,0.98506,0.0014852,0.0014852,0.0014852
28,1774.62,1.552,0.68083,0.99756,0.8973,0.86314,0.91864,0.45569,1.63382,0.6737,0.9882,0.0014654,0.0014654,0.0014654
29,1838.15,1.55448,0.6773,0.99709,0.90028,0.86714,0.923,0.45619,1.61019,0.6728,0.98288,0.0014456,0.0014456,0.0014456
30,1902.9,1.55901,0.6793,0.99575,0.89997,0.86367,0.9168,0.45276,1.62883,0.66987,0.98457,0.0014258,0.0014258,0.0014258
31,1967.6,1.54885,0.67347,0.99647,0.90333,0.86645,0.91836,0.45712,1.61704,0.66623,0.98462,0.001406,0.001406,0.001406
32,2033.12,1.54844,0.67249,0.99147,0.90406,0.87076,0.92339,0.4619,1.61067,0.66487,0.98197,0.0013862,0.0013862,0.0013862
33,2104.84,1.54731,0.66995,0.99514,0.90164,0.87221,0.92732,0.46339,1.60272,0.66345,0.97928,0.0013664,0.0013664,0.0013664
34,2170.57,1.54951,0.66682,0.98782,0.90393,0.8741,0.92709,0.46527,1.60617,0.65598,0.98041,0.0013466,0.0013466,0.0013466
35,2235.01,1.5383,0.66403,0.99188,0.90655,0.86666,0.92587,0.46837,1.59955,0.6619,0.97981,0.0013268,0.0013268,0.0013268
36,2291.13,1.53824,0.66543,0.98996,0.90259,0.87264,0.92836,0.46352,1.59715,0.66338,0.97924,0.001307,0.001307,0.001307
37,2340.15,1.53796,0.66125,0.99262,0.90806,0.87491,0.92773,0.46464,1.59379,0.65427,0.97681,0.0012872,0.0012872,0.0012872
38,2389.25,1.54334,0.65884,0.99115,0.90584,0.87474,0.92932,0.47377,1.59476,0.65317,0.97963,0.0012674,0.0012674,0.0012674
39,2451.52,1.52761,0.65953,0.98617,0.9067,0.87396,0.92841,0.46747,1.59613,0.65453,0.97515,0.0012476,0.0012476,0.0012476
40,2514.67,1.53239,0.65746,0.99091,0.90822,0.87658,0.93003,0.47359,1.60097,0.65384,0.98229,0.0012278,0.0012278,0.0012278
41,2579.06,1.52614,0.65381,0.98978,0.90547,0.875,0.93128,0.47198,1.59001,0.65182,0.97372,0.001208,0.001208,0.001208
42,2643.3,1.53479,0.65663,0.99071,0.9093,0.87458,0.93144,0.4731,1.59375,0.65486,0.97567,0.0011882,0.0011882,0.0011882
43,2706.62,1.51417,0.64932,0.98757,0.90751,0.87619,0.92867,0.47021,1.59241,0.64763,0.97535,0.0011684,0.0011684,0.0011684
44,2769.89,1.52459,0.65391,0.98773,0.90709,0.87835,0.9328,0.47459,1.5869,0.65315,0.97488,0.0011486,0.0011486,0.0011486
45,2836.48,1.52411,0.65115,0.98496,0.91227,0.87489,0.93038,0.47542,1.58774,0.64367,0.97348,0.0011288,0.0011288,0.0011288
46,2902.15,1.51815,0.64692,0.98471,0.91138,0.87796,0.93008,0.47335,1.59044,0.64852,0.97099,0.001109,0.001109,0.001109
47,2966.66,1.51771,0.64778,0.98652,0.90805,0.88035,0.93107,0.4726,1.60341,0.64453,0.97785,0.0010892,0.0010892,0.0010892
48,3021.43,1.51395,0.64548,0.98482,0.91187,0.87571,0.93071,0.47592,1.59068,0.64493,0.97452,0.0010694,0.0010694,0.0010694
49,3086.49,1.52236,0.64688,0.98326,0.90783,0.87955,0.93058,0.47268,1.59293,0.64497,0.97602,0.0010496,0.0010496,0.0010496
50,3151.56,1.51398,0.64142,0.9814,0.90856,0.88089,0.93215,0.47343,1.59285,0.64323,0.97669,0.0010298,0.0010298,0.0010298
51,3215.82,1.51708,0.64466,0.98078,0.91379,0.87796,0.93517,0.47744,1.58925,0.6369,0.97455,0.00101,0.00101,0.00101
52,3280.69,1.5152,0.63909,0.98022,0.9108,0.88265,0.93563,0.47833,1.58327,0.63867,0.97363,0.0009902,0.0009902,0.0009902
53,3344.68,1.50828,0.63983,0.981,0.91009,0.88254,0.93453,0.47944,1.57847,0.64004,0.97184,0.0009704,0.0009704,0.0009704
54,3405.75,1.50745,0.63878,0.98478,0.91046,0.88213,0.93425,0.47601,1.58656,0.64105,0.9747,0.0009506,0.0009506,0.0009506
55,3458.43,1.5067,0.63521,0.97914,0.91362,0.88168,0.93665,0.47948,1.58281,0.63251,0.97315,0.0009308,0.0009308,0.0009308
56,3509.74,1.5022,0.63414,0.9815,0.91137,0.88494,0.93532,0.47764,1.58931,0.63514,0.97367,0.000911,0.000911,0.000911
57,3591.37,1.50762,0.63666,0.97784,0.91104,0.88306,0.93469,0.47785,1.58661,0.63321,0.9738,0.0008912,0.0008912,0.0008912
