frame,timestamp,fps,num_tracks,track_ids
1,15:29:02,37.12,13,13;12;11;10;9;8;7;6;5;4;3;2;1
2,15:29:02,0.47,14,14;13;12;11;10;9;8;7;6;5;4;3;2;1
3,15:29:02,9.48,14,14;13;12;11;10;9;8;7;6;5;4;3;2;1
4,15:29:02,6.61,13,13;12;11;10;9;8;7;6;5;4;3;2;1
5,15:29:02,11.25,13,13;12;11;10;9;8;7;6;5;4;3;2;1
6,15:29:02,12.66,12,13;11;10;9;8;7;6;5;4;3;2;1
7,15:29:02,11.87,12,13;11;10;9;8;7;6;5;4;3;2;1
8,15:29:02,11.03,13,14;13;11;10;9;8;7;6;5;4;3;2;1
9,15:29:03,9.93,13,14;13;11;10;9;8;7;6;5;4;3;2;1
10,15:29:03,10.89,13,14;13;11;10;9;8;7;6;5;4;3;2;1
11,15:29:03,9.36,12,13;11;10;9;8;7;6;5;4;3;2;1
12,15:29:03,12.63,12,13;11;10;9;8;7;6;5;4;3;2;1
13,15:29:03,10.47,12,13;11;10;9;8;7;6;5;4;3;2;1
14,15:29:03,10.71,12,13;11;10;9;8;7;6;5;4;3;2;1
15,15:29:03,11.45,12,13;11;10;9;8;7;6;5;4;3;2;1
16,15:29:03,8.85,13,14;13;11;10;9;8;7;6;5;4;3;2;1
17,15:29:03,6.10,13,14;13;11;10;9;8;7;6;5;4;3;2;1
18,15:29:03,7.44,13,14;13;11;10;9;8;7;6;5;4;3;2;1
19,15:29:04,9.78,13,14;13;11;10;9;8;7;6;5;4;3;2;1
20,15:29:04,8.04,13,14;13;11;10;9;8;7;6;5;4;3;2;1
21,15:29:04,8.15,13,14;13;11;10;9;8;7;6;5;4;3;2;1
22,15:29:04,5.89,13,14;13;11;10;9;8;7;6;5;4;3;2;1
23,15:29:04,6.75,13,14;13;11;10;9;8;7;6;5;4;3;2;1
24,15:29:04,7.09,13,14;13;11;10;9;8;7;6;5;4;3;2;1
25,15:29:04,8.70,13,14;13;11;10;9;8;7;6;5;4;3;2;1
26,15:29:05,8.83,13,14;13;11;10;9;8;7;6;5;4;3;2;1
27,15:29:05,8.64,13,14;13;11;10;9;8;7;6;5;4;3;2;1
